Model already exists: ../EPD/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../EPD/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
/home/perry/miniconda3/envs/edm/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
Constructing predictor...
Setting up optimizer...
Training for 10 kimg...

/home/perry/ziyul6/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/home/perry/ziyul6/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 2 | Loss: 132.0031 | w0: 0.5057 | w1: 0.4943 | sig0: 0.0441 | sig1: 0.0441 | lr : 0.00500000 
Step: 0 | Loss:   4.0032 | w0: 0.5270 | w1: 0.4730 | sig0: 0.0454 | sig1: 0.0443 | lr : 0.00500000 
Step: 1 | Loss:   4.8733 | w0: 0.4705 | w1: 0.5295 | sig0: 0.0470 | sig1: 0.0494 | lr : 0.00500000 
Step: 2 | Loss:  97.0179 | w0: 0.5040 | w1: 0.4960 | sig0: 0.0439 | sig1: 0.0439 | lr : 0.00500000 
Step: 0 | Loss:   4.6350 | w0: 0.5280 | w1: 0.4720 | sig0: 0.0452 | sig1: 0.0441 | lr : 0.00500000 
Step: 1 | Loss:   4.9554 | w0: 0.4690 | w1: 0.5310 | sig0: 0.0470 | sig1: 0.0495 | lr : 0.00500000 
Step: 2 | Loss:  99.4253 | w0: 0.5035 | w1: 0.4965 | sig0: 0.0437 | sig1: 0.0438 | lr : 0.00500000 
Step: 0 | Loss:   5.7167 | w0: 0.5279 | w1: 0.4721 | sig0: 0.0451 | sig1: 0.0440 | lr : 0.00500000 
Step: 1 | Loss:   5.4346 | w0: 0.4677 | w1: 0.5323 | sig0: 0.0470 | sig1: 0.0496 | lr : 0.00500000 
Step: 2 | Loss: 108.6292 | w0: 0.5013 | w1: 0.4987 | sig0: 0.0436 | sig1: 0.0437 | lr : 0.00500000 
Step: 0 | Loss:   3.4696 | w0: 0.5281 | w1: 0.4719 | sig0: 0.0450 | sig1: 0.0439 | lr : 0.00500000 
Step: 1 | Loss:   4.1027 | w0: 0.4661 | w1: 0.5339 | sig0: 0.0469 | sig1: 0.0497 | lr : 0.00500000 
Step: 2 | Loss: 109.9101 | w0: 0.4996 | w1: 0.5004 | sig0: 0.0434 | sig1: 0.0436 | lr : 0.00500000 
Step: 0 | Loss:   4.5273 | w0: 0.5289 | w1: 0.4711 | sig0: 0.0449 | sig1: 0.0438 | lr : 0.00500000 
Step: 1 | Loss:   6.0165 | w0: 0.4650 | w1: 0.5350 | sig0: 0.0468 | sig1: 0.0497 | lr : 0.00500000 
Step: 2 | Loss: 106.6325 | w0: 0.4986 | w1: 0.5014 | sig0: 0.0433 | sig1: 0.0435 | lr : 0.00500000 
Step: 0 | Loss:   2.8939 | w0: 0.5305 | w1: 0.4695 | sig0: 0.0448 | sig1: 0.0437 | lr : 0.00500000 
Step: 1 | Loss:   3.3314 | w0: 0.4650 | w1: 0.5350 | sig0: 0.0468 | sig1: 0.0496 | lr : 0.00500000 
Step: 2 | Loss:  99.9784 | w0: 0.4982 | w1: 0.5018 | sig0: 0.0431 | sig1: 0.0434 | lr : 0.00500000 
Step: 0 | Loss:   4.6544 | w0: 0.5322 | w1: 0.4678 | sig0: 0.0447 | sig1: 0.0435 | lr : 0.00500000 
Step: 1 | Loss:   5.0778 | w0: 0.4651 | w1: 0.5349 | sig0: 0.0468 | sig1: 0.0496 | lr : 0.00500000 
Step: 2 | Loss: 116.2475 | w0: 0.4987 | w1: 0.5013 | sig0: 0.0430 | sig1: 0.0432 | lr : 0.00500000 
Step: 0 | Loss:   5.6566 | w0: 0.5323 | w1: 0.4677 | sig0: 0.0446 | sig1: 0.0435 | lr : 0.00500000 
Step: 1 | Loss:   5.5011 | w0: 0.4655 | w1: 0.5345 | sig0: 0.0468 | sig1: 0.0495 | lr : 0.00500000 
Step: 2 | Loss: 115.2967 | w0: 0.4999 | w1: 0.5001 | sig0: 0.0429 | sig1: 0.0431 | lr : 0.00500000 
Step: 0 | Loss:   6.1876 | w0: 0.5318 | w1: 0.4682 | sig0: 0.0445 | sig1: 0.0434 | lr : 0.00500000 
Step: 1 | Loss:   5.8604 | w0: 0.4677 | w1: 0.5323 | sig0: 0.0469 | sig1: 0.0494 | lr : 0.00500000 
Step: 2 | Loss: 114.9724 | w0: 0.5018 | w1: 0.4982 | sig0: 0.0428 | sig1: 0.0429 | lr : 0.00500000 
Step: 0 | Loss:   4.6561 | w0: 0.5311 | w1: 0.4689 | sig0: 0.0444 | sig1: 0.0433 | lr : 0.00500000 
Step: 1 | Loss:   5.6887 | w0: 0.4710 | w1: 0.5290 | sig0: 0.0470 | sig1: 0.0493 | lr : 0.00500000 
Step: 2 | Loss: 107.1164 | w0: 0.5020 | w1: 0.4980 | sig0: 0.0426 | sig1: 0.0427 | lr : 0.00500000 
Step: 0 | Loss:   4.7405 | w0: 0.5297 | w1: 0.4703 | sig0: 0.0442 | sig1: 0.0433 | lr : 0.00500000 
Step: 1 | Loss:   5.0536 | w0: 0.4734 | w1: 0.5266 | sig0: 0.0471 | sig1: 0.0493 | lr : 0.00500000 
Step: 2 | Loss:  99.8183 | w0: 0.5014 | w1: 0.4986 | sig0: 0.0424 | sig1: 0.0426 | lr : 0.00500000 
Step: 0 | Loss:   5.0111 | w0: 0.5285 | w1: 0.4715 | sig0: 0.0441 | sig1: 0.0433 | lr : 0.00500000 
Step: 1 | Loss:   6.0656 | w0: 0.4762 | w1: 0.5238 | sig0: 0.0473 | sig1: 0.0493 | lr : 0.00500000 
Step: 2 | Loss: 115.3388 | w0: 0.4994 | w1: 0.5006 | sig0: 0.0421 | sig1: 0.0423 | lr : 0.00500000 
Step: 0 | Loss:   3.9008 | w0: 0.5281 | w1: 0.4719 | sig0: 0.0440 | sig1: 0.0432 | lr : 0.00500000 
Step: 1 | Loss:   4.5219 | w0: 0.4795 | w1: 0.5205 | sig0: 0.0475 | sig1: 0.0492 | lr : 0.00500000 
Step: 2 | Loss: 123.8714 | w0: 0.4982 | w1: 0.5018 | sig0: 0.0418 | sig1: 0.0420 | lr : 0.00500000 
Step: 0 | Loss:   3.8108 | w0: 0.5279 | w1: 0.4721 | sig0: 0.0440 | sig1: 0.0431 | lr : 0.00500000 
Step: 1 | Loss:   4.8811 | w0: 0.4824 | w1: 0.5176 | sig0: 0.0476 | sig1: 0.0491 | lr : 0.00500000 
Step: 2 | Loss:  83.9047 | w0: 0.4958 | w1: 0.5042 | sig0: 0.0416 | sig1: 0.0419 | lr : 0.00500000 
