Model already exists: ../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
/root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev
  warn(f"Failed to load image Python extension: {e}")
Using Cosince Annealing Learning Rate
Training for 10 kimg...

Step: 2 | Loss:   0.3940 | w0: 0.3260 | w1: 0.6740 | r0: 0.2265 | r1: 0.3954 | st0: 1.0210 | st1: 1.0237 | sd0: 0.9951 | sd1: 0.9900 | lr : 0.19845379 
Step: 3 | Loss:  14.9146 | w0: 0.2447 | w1: 0.7553 | r0: 0.1263 | r1: 0.1649 | st0: 0.9859 | st1: 0.9808 | sd0: 1.0065 | sd1: 0.9975 | lr : 0.19845379 
Step: 0 | Loss:   4.1108 | w0: 0.9085 | w1: 0.0915 | r0: 0.2260 | r1: 0.6859 | st0: 0.9916 | st1: 0.9779 | sd0: 1.0015 | sd1: 1.0156 | lr : 0.19827775 
Step: 1 | Loss:   0.4385 | w0: 0.6790 | w1: 0.3210 | r0: 0.3022 | r1: 0.8574 | st0: 0.9898 | st1: 0.9823 | sd0: 0.9815 | sd1: 1.0057 | lr : 0.19827775 
Step: 2 | Loss:   0.3500 | w0: 0.3827 | w1: 0.6173 | r0: 0.2095 | r1: 0.3695 | st0: 1.0221 | st1: 1.0246 | sd0: 0.9959 | sd1: 0.9903 | lr : 0.19827775 
Step: 3 | Loss:  30.7164 | w0: 0.2630 | w1: 0.7370 | r0: 0.1280 | r1: 0.1753 | st0: 0.9855 | st1: 0.9802 | sd0: 1.0073 | sd1: 0.9990 | lr : 0.19827775 
Step: 0 | Loss:   5.6403 | w0: 0.9008 | w1: 0.0992 | r0: 0.2247 | r1: 0.6978 | st0: 0.9907 | st1: 0.9768 | sd0: 1.0019 | sd1: 1.0158 | lr : 0.19809232 
Step: 1 | Loss:   0.4300 | w0: 0.6620 | w1: 0.3380 | r0: 0.3041 | r1: 0.8597 | st0: 0.9899 | st1: 0.9825 | sd0: 0.9821 | sd1: 1.0062 | lr : 0.19809232 
Step: 2 | Loss:   0.3991 | w0: 0.4325 | w1: 0.5675 | r0: 0.1906 | r1: 0.3460 | st0: 1.0230 | st1: 1.0254 | sd0: 0.9959 | sd1: 0.9904 | lr : 0.19809232 
Step: 3 | Loss:  30.9089 | w0: 0.2654 | w1: 0.7346 | r0: 0.1295 | r1: 0.1878 | st0: 0.9849 | st1: 0.9794 | sd0: 1.0074 | sd1: 0.9995 | lr : 0.19809232 
Step: 0 | Loss:   6.3210 | w0: 0.8957 | w1: 0.1043 | r0: 0.2224 | r1: 0.7093 | st0: 0.9897 | st1: 0.9756 | sd0: 1.0020 | sd1: 1.0159 | lr : 0.19789751 
Step: 1 | Loss:   0.4400 | w0: 0.6490 | w1: 0.3510 | r0: 0.3064 | r1: 0.8573 | st0: 0.9900 | st1: 0.9827 | sd0: 0.9824 | sd1: 1.0064 | lr : 0.19789751 
Step: 2 | Loss:   0.3913 | w0: 0.4464 | w1: 0.5536 | r0: 0.1794 | r1: 0.3238 | st0: 1.0240 | st1: 1.0262 | sd0: 0.9949 | sd1: 0.9901 | lr : 0.19789751 
Step: 3 | Loss:  26.6248 | w0: 0.2545 | w1: 0.7455 | r0: 0.1305 | r1: 0.2035 | st0: 0.9842 | st1: 0.9782 | sd0: 1.0072 | sd1: 0.9995 | lr : 0.19789751 
Step: 0 | Loss:   5.7624 | w0: 0.9000 | w1: 0.1000 | r0: 0.2163 | r1: 0.7138 | st0: 0.9891 | st1: 0.9747 | sd0: 1.0020 | sd1: 1.0157 | lr : 0.19769333 
Step: 1 | Loss:   0.3299 | w0: 0.6434 | w1: 0.3566 | r0: 0.3065 | r1: 0.8574 | st0: 0.9901 | st1: 0.9827 | sd0: 0.9825 | sd1: 1.0063 | lr : 0.19769333 
Step: 2 | Loss:   0.2267 | w0: 0.4190 | w1: 0.5810 | r0: 0.1804 | r1: 0.3093 | st0: 1.0245 | st1: 1.0268 | sd0: 0.9934 | sd1: 0.9895 | lr : 0.19769333 
Step: 3 | Loss:  37.3257 | w0: 0.2333 | w1: 0.7667 | r0: 0.1309 | r1: 0.2224 | st0: 0.9833 | st1: 0.9768 | sd0: 1.0066 | sd1: 0.9991 | lr : 0.19769333 
Step: 0 | Loss:   4.2438 | w0: 0.9077 | w1: 0.0923 | r0: 0.2100 | r1: 0.7181 | st0: 0.9885 | st1: 0.9737 | sd0: 1.0015 | sd1: 1.0151 | lr : 0.19747982 
Step: 1 | Loss:   0.5138 | w0: 0.6519 | w1: 0.3481 | r0: 0.3068 | r1: 0.8566 | st0: 0.9901 | st1: 0.9825 | sd0: 0.9822 | sd1: 1.0057 | lr : 0.19747982 
Step: 2 | Loss:   0.7449 | w0: 0.3678 | w1: 0.6322 | r0: 0.1942 | r1: 0.3024 | st0: 1.0244 | st1: 1.0272 | sd0: 0.9917 | sd1: 0.9887 | lr : 0.19747982 
Step: 3 | Loss:  28.3495 | w0: 0.2206 | w1: 0.7794 | r0: 0.1298 | r1: 0.2386 | st0: 0.9824 | st1: 0.9755 | sd0: 1.0060 | sd1: 0.9985 | lr : 0.19747982 
Step: 0 | Loss:   2.7302 | w0: 0.9158 | w1: 0.0842 | r0: 0.2024 | r1: 0.7243 | st0: 0.9879 | st1: 0.9727 | sd0: 1.0010 | sd1: 1.0145 | lr : 0.19725700 
Step: 1 | Loss:   0.6186 | w0: 0.6605 | w1: 0.3395 | r0: 0.3105 | r1: 0.8526 | st0: 0.9899 | st1: 0.9821 | sd0: 0.9820 | sd1: 1.0051 | lr : 0.19725700 
Step: 2 | Loss:   0.4029 | w0: 0.3194 | w1: 0.6806 | r0: 0.2104 | r1: 0.2994 | st0: 1.0241 | st1: 1.0275 | sd0: 0.9901 | sd1: 0.9880 | lr : 0.19725700 
Step: 3 | Loss:  31.2972 | w0: 0.2252 | w1: 0.7748 | r0: 0.1271 | r1: 0.2540 | st0: 0.9817 | st1: 0.9744 | sd0: 1.0057 | sd1: 0.9984 | lr : 0.19725700 
Step: 0 | Loss:   1.8325 | w0: 0.9207 | w1: 0.0793 | r0: 0.1957 | r1: 0.7328 | st0: 0.9873 | st1: 0.9716 | sd0: 1.0007 | sd1: 1.0140 | lr : 0.19702488 
Step: 1 | Loss:   0.7572 | w0: 0.6548 | w1: 0.3452 | r0: 0.3132 | r1: 0.8490 | st0: 0.9897 | st1: 0.9817 | sd0: 0.9820 | sd1: 1.0048 | lr : 0.19702488 
Step: 2 | Loss:   0.5534 | w0: 0.2726 | w1: 0.7274 | r0: 0.2324 | r1: 0.3030 | st0: 1.0240 | st1: 1.0278 | sd0: 0.9895 | sd1: 0.9879 | lr : 0.19702488 
Step: 3 | Loss:  34.3580 | w0: 0.2515 | w1: 0.7485 | r0: 0.1231 | r1: 0.2621 | st0: 0.9813 | st1: 0.9737 | sd0: 1.0057 | sd1: 0.9987 | lr : 0.19702488 
Step: 0 | Loss:   1.2534 | w0: 0.9169 | w1: 0.0831 | r0: 0.1933 | r1: 0.7502 | st0: 0.9862 | st1: 0.9703 | sd0: 1.0002 | sd1: 1.0135 | lr : 0.19678349 
Step: 1 | Loss:   0.7178 | w0: 0.6408 | w1: 0.3592 | r0: 0.3197 | r1: 0.8485 | st0: 0.9892 | st1: 0.9811 | sd0: 0.9820 | sd1: 1.0047 | lr : 0.19678349 
Step: 2 | Loss:   0.3903 | w0: 0.2284 | w1: 0.7716 | r0: 0.2596 | r1: 0.3155 | st0: 1.0238 | st1: 1.0281 | sd0: 0.9891 | sd1: 0.9880 | lr : 0.19678349 
Step: 3 | Loss:  36.9755 | w0: 0.2960 | w1: 0.7040 | r0: 0.1176 | r1: 0.2619 | st0: 0.9810 | st1: 0.9732 | sd0: 1.0059 | sd1: 0.9992 | lr : 0.19678349 
Step: 0 | Loss:   0.8828 | w0: 0.9127 | w1: 0.0873 | r0: 0.1908 | r1: 0.7658 | st0: 0.9851 | st1: 0.9692 | sd0: 0.9999 | sd1: 1.0131 | lr : 0.19653285 
Step: 1 | Loss:   1.2922 | w0: 0.6207 | w1: 0.3793 | r0: 0.3262 | r1: 0.8484 | st0: 0.9887 | st1: 0.9805 | sd0: 0.9822 | sd1: 1.0048 | lr : 0.19653285 
Step: 2 | Loss:   1.9750 | w0: 0.1911 | w1: 0.8089 | r0: 0.2894 | r1: 0.3325 | st0: 1.0237 | st1: 1.0284 | sd0: 0.9890 | sd1: 0.9885 | lr : 0.19653285 
