Model already exists: ../epd-solver/src/lsun_bedroom_ldm/model.ckpt
The vq-f4 model already exists: ../epd-solver/models/ldm_models/first_stage_models/vq-f4/model.ckpt
Loading the pre-trained diffusion model from "../epd-solver/src/lsun_bedroom_ldm/model.ckpt"...
Global Step: 1900000
LatentDiffusion: Running in eps-prediction mode
DiffusionWrapper has 274.06 M params.
Keeping EMAs of 370.
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 3, 64, 64) = 12288 dimensions.
making attention of type 'vanilla' with 512 in_channels
Restored from models/ldm_models/first_stage_models/vq-f4/model.ckpt with 0 missing and 55 unexpected keys
Training LatentDiffusion as an unconditional model.
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:   4.6703 | w0: 0.2409 | w1: 0.7591 | r0: 0.5260 | r1: 0.0564 | sd0: 0.9846 | sd1: 1.0079 | lr : 0.09983633 
Step: 1 | Loss:   1.5666 | w0: 0.9173 | w1: 0.0827 | r0: 0.3441 | r1: 0.7583 | sd0: 1.0023 | sd1: 1.0049 | lr : 0.09983633 
Step: 2 | Loss:   1.1181 | w0: 0.1564 | w1: 0.8436 | r0: 0.5460 | r1: 0.6628 | sd0: 1.0024 | sd1: 0.9988 | lr : 0.09983633 
Step: 3 | Loss:   6.1714 | w0: 0.0915 | w1: 0.9085 | r0: 0.2206 | r1: 0.3847 | sd0: 1.0015 | sd1: 1.0198 | lr : 0.09983633 
Step: 4 | Loss:  43.1511 | w0: 0.0342 | w1: 0.9658 | r0: 0.3631 | r1: 0.2501 | sd0: 1.0046 | sd1: 1.0108 | lr : 0.09983633 
Step: 0 | Loss:   3.9451 | w0: 0.2433 | w1: 0.7567 | r0: 0.4882 | r1: 0.0538 | sd0: 0.9845 | sd1: 1.0071 | lr : 0.09981652 
Step: 1 | Loss:   1.0298 | w0: 0.8863 | w1: 0.1137 | r0: 0.3237 | r1: 0.7893 | sd0: 1.0013 | sd1: 1.0041 | lr : 0.09981652 
Step: 2 | Loss:   1.0465 | w0: 0.1345 | w1: 0.8655 | r0: 0.5528 | r1: 0.6650 | sd0: 1.0011 | sd1: 0.9972 | lr : 0.09981652 
Step: 3 | Loss:   6.0443 | w0: 0.1004 | w1: 0.8996 | r0: 0.2211 | r1: 0.4307 | sd0: 1.0001 | sd1: 1.0182 | lr : 0.09981652 
Step: 4 | Loss:  21.8377 | w0: 0.0383 | w1: 0.9617 | r0: 0.3637 | r1: 0.2487 | sd0: 1.0043 | sd1: 1.0082 | lr : 0.09981652 
Step: 0 | Loss:   2.7655 | w0: 0.2725 | w1: 0.7275 | r0: 0.4415 | r1: 0.0486 | sd0: 0.9835 | sd1: 1.0050 | lr : 0.09979559 
Step: 1 | Loss:   0.3439 | w0: 0.8509 | w1: 0.1491 | r0: 0.3122 | r1: 0.8186 | sd0: 0.9997 | sd1: 1.0028 | lr : 0.09979559 
Step: 2 | Loss:   1.7366 | w0: 0.1152 | w1: 0.8848 | r0: 0.5588 | r1: 0.6627 | sd0: 0.9998 | sd1: 0.9952 | lr : 0.09979559 
Step: 3 | Loss:   6.5248 | w0: 0.1093 | w1: 0.8907 | r0: 0.2211 | r1: 0.4662 | sd0: 0.9987 | sd1: 1.0164 | lr : 0.09979559 
Step: 4 | Loss:  15.7394 | w0: 0.0422 | w1: 0.9578 | r0: 0.3643 | r1: 0.2476 | sd0: 1.0041 | sd1: 1.0060 | lr : 0.09979559 
Step: 0 | Loss:   7.3794 | w0: 0.2842 | w1: 0.7158 | r0: 0.4063 | r1: 0.0458 | sd0: 0.9831 | sd1: 1.0040 | lr : 0.09977352 
Step: 1 | Loss:   1.0895 | w0: 0.8326 | w1: 0.1674 | r0: 0.3050 | r1: 0.8233 | sd0: 0.9988 | sd1: 1.0022 | lr : 0.09977352 
Step: 2 | Loss:   2.3161 | w0: 0.1125 | w1: 0.8875 | r0: 0.5586 | r1: 0.6454 | sd0: 0.9989 | sd1: 0.9940 | lr : 0.09977352 
Step: 3 | Loss:   4.4146 | w0: 0.1249 | w1: 0.8751 | r0: 0.2168 | r1: 0.4732 | sd0: 0.9976 | sd1: 1.0150 | lr : 0.09977352 
Step: 4 | Loss:  40.6332 | w0: 0.0444 | w1: 0.9556 | r0: 0.3647 | r1: 0.2454 | sd0: 1.0039 | sd1: 1.0041 | lr : 0.09977352 
Step: 0 | Loss:   6.6606 | w0: 0.2803 | w1: 0.7197 | r0: 0.3921 | r1: 0.0448 | sd0: 0.9832 | sd1: 1.0039 | lr : 0.09975033 
Step: 1 | Loss:   1.0260 | w0: 0.7717 | w1: 0.2283 | r0: 0.3106 | r1: 0.8196 | sd0: 0.9987 | sd1: 1.0025 | lr : 0.09975033 
Step: 2 | Loss:   4.2736 | w0: 0.1237 | w1: 0.8763 | r0: 0.5535 | r1: 0.6055 | sd0: 0.9986 | sd1: 0.9937 | lr : 0.09975033 
Step: 3 | Loss:  11.5615 | w0: 0.1534 | w1: 0.8466 | r0: 0.2083 | r1: 0.4597 | sd0: 0.9972 | sd1: 1.0144 | lr : 0.09975033 
Step: 4 | Loss:  54.5881 | w0: 0.0444 | w1: 0.9556 | r0: 0.3648 | r1: 0.2409 | sd0: 1.0037 | sd1: 1.0029 | lr : 0.09975033 
Step: 0 | Loss:   2.2786 | w0: 0.2596 | w1: 0.7404 | r0: 0.3869 | r1: 0.0448 | sd0: 0.9839 | sd1: 1.0049 | lr : 0.09972601 
Step: 1 | Loss:   0.2316 | w0: 0.6939 | w1: 0.3061 | r0: 0.3159 | r1: 0.8033 | sd0: 0.9993 | sd1: 1.0042 | lr : 0.09972601 
