Model already exists: ../epd-solver/src/lsun_bedroom_ldm/model.ckpt
The vq-f4 model already exists: ../epd-solver/models/ldm_models/first_stage_models/vq-f4/model.ckpt
Loading the pre-trained diffusion model from "../epd-solver/src/lsun_bedroom_ldm/model.ckpt"...
Global Step: 1900000
LatentDiffusion: Running in eps-prediction mode
DiffusionWrapper has 274.06 M params.
Keeping EMAs of 370.
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 3, 64, 64) = 12288 dimensions.
making attention of type 'vanilla' with 512 in_channels
Restored from models/ldm_models/first_stage_models/vq-f4/model.ckpt with 0 missing and 55 unexpected keys
Training LatentDiffusion as an unconditional model.
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:  10.2877 | w0: 0.2182 | w1: 0.7818 | r0: 0.4907 | r1: 0.0708 | sd0: 1.0023 | sd1: 1.0002 | lr : 0.09918420 
Step: 1 | Loss: 104.3329 | w0: 0.1137 | w1: 0.8863 | r0: 0.2351 | r1: 0.2133 | sd0: 0.9920 | sd1: 1.0069 | lr : 0.09918420 
Step: 0 | Loss:  12.4668 | w0: 0.2145 | w1: 0.7855 | r0: 0.5069 | r1: 0.0695 | sd0: 1.0022 | sd1: 0.9998 | lr : 0.09914084 
Step: 1 | Loss: 134.2076 | w0: 0.1142 | w1: 0.8858 | r0: 0.2316 | r1: 0.2193 | sd0: 0.9916 | sd1: 1.0063 | lr : 0.09914084 
Step: 0 | Loss:  12.1378 | w0: 0.2112 | w1: 0.7888 | r0: 0.5272 | r1: 0.0704 | sd0: 1.0015 | sd1: 0.9988 | lr : 0.09909636 
Step: 1 | Loss:  81.6930 | w0: 0.1148 | w1: 0.8852 | r0: 0.2279 | r1: 0.2239 | sd0: 0.9911 | sd1: 1.0056 | lr : 0.09909636 
Step: 0 | Loss:  14.0972 | w0: 0.2038 | w1: 0.7962 | r0: 0.5451 | r1: 0.0717 | sd0: 1.0006 | sd1: 0.9974 | lr : 0.09905078 
Step: 1 | Loss:  54.9008 | w0: 0.1157 | w1: 0.8843 | r0: 0.2282 | r1: 0.2305 | sd0: 0.9906 | sd1: 1.0049 | lr : 0.09905078 
Step: 0 | Loss:  22.5246 | w0: 0.1961 | w1: 0.8039 | r0: 0.5587 | r1: 0.0716 | sd0: 0.9998 | sd1: 0.9964 | lr : 0.09900408 
Step: 1 | Loss: 123.2943 | w0: 0.1157 | w1: 0.8843 | r0: 0.2270 | r1: 0.2350 | sd0: 0.9905 | sd1: 1.0047 | lr : 0.09900408 
Step: 0 | Loss:  25.5177 | w0: 0.1945 | w1: 0.8055 | r0: 0.5690 | r1: 0.0709 | sd0: 0.9995 | sd1: 0.9959 | lr : 0.09895628 
Step: 1 | Loss: 118.2487 | w0: 0.1148 | w1: 0.8852 | r0: 0.2253 | r1: 0.2413 | sd0: 0.9907 | sd1: 1.0049 | lr : 0.09895628 
Step: 0 | Loss:  19.8714 | w0: 0.1942 | w1: 0.8058 | r0: 0.5751 | r1: 0.0694 | sd0: 0.9996 | sd1: 0.9960 | lr : 0.09890737 
Step: 1 | Loss:  78.4561 | w0: 0.1133 | w1: 0.8867 | r0: 0.2200 | r1: 0.2418 | sd0: 0.9913 | sd1: 1.0058 | lr : 0.09890737 
Step: 0 | Loss:  15.8391 | w0: 0.1937 | w1: 0.8063 | r0: 0.5769 | r1: 0.0672 | sd0: 0.9999 | sd1: 0.9966 | lr : 0.09885735 
Step: 1 | Loss:  77.7258 | w0: 0.1117 | w1: 0.8883 | r0: 0.2124 | r1: 0.2405 | sd0: 0.9921 | sd1: 1.0069 | lr : 0.09885735 
